# Logfile created on 2026-02-25 10:58:53 +0100 by logger.rb/v1.4.3
2026-02-25 10:58:53 +0100: Memory Usage (427196K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/designer/shared/IHP-AnalogAcademy/modules/module_3_8_bit_SAR_ADC/part_5_analog_layout/bootstrap/layout/bootstrap_switch.gds
2026-02-25 10:58:53 +0100: Memory Usage (427196K) : Ruby Version for klayout: 3.0.2
2026-02-25 10:58:53 +0100: Memory Usage (428348K) : Loading database to memory is complete.
2026-02-25 10:58:53 +0100: Memory Usage (428348K) : IHP-SG13G2 KLayout DRC runset output at: /home/designer/shared/IHP-AnalogAcademy/modules/module_3_8_bit_SAR_ADC/part_5_analog_layout/bootstrap/layout/drc_run_bootstrap_switch/bootstrap_switch_bootstrap_switch_main.lyrdb
2026-02-25 10:58:53 +0100: Memory Usage (428476K) : Evaluate switches.
2026-02-25 10:58:53 +0100: Memory Usage (428476K) : tables selected: main
2026-02-25 10:58:53 +0100: Memory Usage (428476K) : KLayout will use 1 thread(s) in tiling mode.
2026-02-25 10:58:53 +0100: Memory Usage (428476K) : deep mode is enabled.
2026-02-25 10:58:53 +0100: Memory Usage (428476K) : FEOL enabled: true
2026-02-25 10:58:53 +0100: Memory Usage (428476K) : BEOL enabled: true
2026-02-25 10:58:53 +0100: Memory Usage (428476K) : OFFGRID enabled: true
2026-02-25 10:58:53 +0100: Memory Usage (428476K) : PIN enabled: true
2026-02-25 10:58:53 +0100: Memory Usage (428476K) : FORBIDDEN enabled: true
2026-02-25 10:58:53 +0100: Memory Usage (428476K) : RECOMMENDED enabled: true
2026-02-25 10:58:53 +0100: Memory Usage (428476K) : PreCheck DRC enabled: false
2026-02-25 10:58:53 +0100: Memory Usage (428476K) : CONNECTIVITY_RULES enabled: true.
2026-02-25 10:58:53 +0100: Memory Usage (428476K) : Read in polygons from layers.
2026-02-25 10:58:53 +0100: Memory Usage (429116K) : activ_drw has 75 polygons
2026-02-25 10:58:53 +0100: Memory Usage (429116K) : activ_pin has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (429116K) : activ_mask has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (429116K) : activ_filler has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (429116K) : activ_nofill has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (429116K) : activ_opc has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (429116K) : activ_iopc has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (429116K) : activ_noqrc has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (429116K) : biwind_drw has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (429116K) : biwind_opc has 0 polygons
2026-02-25 10:58:53 +0100: Memory Usage (429116K) : pemwind_drw has 0 polygons
