# Logfile created on 2026-02-15 16:52:10 +0100 by logger.rb/v1.4.3
2026-02-15 16:52:10 +0100: Memory Usage (426796K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/designer/shared/IHP-AnalogAcademy/modules/module_3_8_bit_SAR_ADC/part_5_analog_layout/comparator/layout/DIFF_COMPARATOR.gds
2026-02-15 16:52:10 +0100: Memory Usage (426796K) : Ruby Version for klayout: 3.0.2
2026-02-15 16:52:10 +0100: Memory Usage (427692K) : Loading database to memory is complete.
2026-02-15 16:52:10 +0100: Memory Usage (427692K) : IHP-SG13G2 KLayout DRC runset output at: /home/designer/shared/IHP-AnalogAcademy/modules/module_3_8_bit_SAR_ADC/part_5_analog_layout/comparator/layout/drc_run_DIFF_COMPARATOR/DIFF_COMPARATOR_DIFF_COMPARATOR_main.lyrdb
2026-02-15 16:52:10 +0100: Memory Usage (427820K) : Evaluate switches.
2026-02-15 16:52:10 +0100: Memory Usage (427820K) : tables selected: main
2026-02-15 16:52:10 +0100: Memory Usage (427820K) : KLayout will use 1 thread(s) in tiling mode.
2026-02-15 16:52:10 +0100: Memory Usage (427820K) : deep mode is enabled.
2026-02-15 16:52:10 +0100: Memory Usage (427820K) : FEOL enabled: true
2026-02-15 16:52:10 +0100: Memory Usage (427820K) : BEOL enabled: true
2026-02-15 16:52:10 +0100: Memory Usage (427820K) : OFFGRID enabled: true
2026-02-15 16:52:10 +0100: Memory Usage (427820K) : PIN enabled: true
2026-02-15 16:52:10 +0100: Memory Usage (427820K) : FORBIDDEN enabled: true
2026-02-15 16:52:10 +0100: Memory Usage (427820K) : RECOMMENDED enabled: false
2026-02-15 16:52:10 +0100: Memory Usage (427820K) : PreCheck DRC enabled: false
2026-02-15 16:52:10 +0100: Memory Usage (427820K) : CONNECTIVITY_RULES enabled: true.
2026-02-15 16:52:10 +0100: Memory Usage (427820K) : Read in polygons from layers.
2026-02-15 16:52:10 +0100: Memory Usage (428972K) : activ_drw has 141 polygons
2026-02-15 16:52:10 +0100: Memory Usage (428972K) : activ_pin has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (428972K) : activ_mask has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (428972K) : activ_filler has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (428972K) : activ_nofill has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (428972K) : activ_opc has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (428972K) : activ_iopc has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (428972K) : activ_noqrc has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (428972K) : biwind_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (428972K) : biwind_opc has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (428972K) : pemwind_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (428972K) : gatpoly_drw has 194 polygons
2026-02-15 16:52:10 +0100: Memory Usage (428972K) : gatpoly_pin has 17 polygons
2026-02-15 16:52:10 +0100: Memory Usage (428972K) : gatpoly_filler has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (428972K) : gatpoly_nofill has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (428972K) : gatpoly_opc has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (428972K) : gatpoly_iopc has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (428972K) : gatpoly_noqrc has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (428972K) : cont_drw has 1239 polygons
2026-02-15 16:52:10 +0100: Memory Usage (428972K) : cont_opc has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (428972K) : nsd_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (428972K) : nsd_block has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (428972K) : metal1_drw has 288 polygons
2026-02-15 16:52:10 +0100: Memory Usage (428972K) : metal1_pin has 34 polygons
2026-02-15 16:52:10 +0100: Memory Usage (429100K) : metal1_mask has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (429100K) : metal1_filler has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (429100K) : metal1_nofill has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (429100K) : metal1_slit has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (429356K) : metal1_text has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (429612K) : metal1_opc has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (429612K) : metal1_noqrc has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (429612K) : metal1_res has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (429612K) : metal1_iprobe has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (429612K) : metal1_diffprb has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (429612K) : passiv_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (429740K) : passiv_pin has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (429740K) : passiv_sbump has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (429740K) : passiv_pillar has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (429868K) : passiv_pdl has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (429868K) : metal2_drw has 207 polygons
2026-02-15 16:52:10 +0100: Memory Usage (429868K) : metal2_pin has 4 polygons
2026-02-15 16:52:10 +0100: Memory Usage (429868K) : metal2_mask has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (429996K) : metal2_filler has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (429996K) : metal2_nofill has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (429996K) : metal2_slit has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (430124K) : metal2_text has 3 polygons
2026-02-15 16:52:10 +0100: Memory Usage (430124K) : metal2_opc has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (430124K) : metal2_noqrc has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (430252K) : metal2_res has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (430252K) : metal2_iprobe has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (430252K) : metal2_diffprb has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (430380K) : baspoly_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (430380K) : baspoly_pin has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (430380K) : psd_drw has 20 polygons
2026-02-15 16:52:10 +0100: Memory Usage (430508K) : nldb_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (430508K) : digibnd_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (430508K) : via1_drw has 556 polygons
2026-02-15 16:52:10 +0100: Memory Usage (430636K) : backmetal1_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (430636K) : backmetal1_pin has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (430636K) : backmetal1_mask has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (430764K) : backmetal1_filler has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (430764K) : backmetal1_nofill has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (430764K) : backmetal1_slit has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (430892K) : backmetal1_text has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (430892K) : backmetal1_opc has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (430892K) : backmetal1_noqrc has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (431020K) : backmetal1_res has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (431020K) : backmetal1_iprobe has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (431020K) : backmetal1_diffprb has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (431148K) : backpassiv_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (431148K) : res_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (431148K) : sram_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (431148K) : trans_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (431276K) : ind_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (431276K) : ind_pin has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (431276K) : ind_text has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (431404K) : salblock_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (431404K) : via2_drw has 455 polygons
2026-02-15 16:52:10 +0100: Memory Usage (431404K) : metal3_drw has 163 polygons
2026-02-15 16:52:10 +0100: Memory Usage (431532K) : metal3_pin has 3 polygons
2026-02-15 16:52:10 +0100: Memory Usage (431532K) : metal3_mask has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (431532K) : metal3_filler has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (431660K) : metal3_nofill has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (431660K) : metal3_slit has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (431660K) : metal3_text has 3 polygons
2026-02-15 16:52:10 +0100: Memory Usage (431788K) : metal3_opc has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (431788K) : metal3_noqrc has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (431788K) : metal3_res has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (431916K) : metal3_iprobe has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (431916K) : metal3_diffprb has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (431916K) : nwell_drw has 19 polygons
2026-02-15 16:52:10 +0100: Memory Usage (432044K) : nwell_pin has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (432044K) : nbulay_drw has 8 polygons
2026-02-15 16:52:10 +0100: Memory Usage (432044K) : nbulay_pin has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (432044K) : nbulay_block has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (432044K) : emwind_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (432044K) : emwind_opc has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (432172K) : deepco_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (432172K) : deepco_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (432300K) : mim_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (432300K) : edgeseal_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (432428K) : edgeseal_bound has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (432428K) : substrate_drw has 20 polygons
2026-02-15 16:52:10 +0100: Memory Usage (432428K) : substrate_text has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (432556K) : dfpad_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (432556K) : dfpad_pillar has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (432684K) : dfpad_sbump has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (432684K) : thickgateox_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (432684K) : pldb_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (432812K) : pwell_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (432812K) : pwell_pin has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (432940K) : pwell_block has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (432940K) : ic_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (433068K) : via3_drw has 286 polygons
2026-02-15 16:52:10 +0100: Memory Usage (433068K) : metal4_drw has 72 polygons
2026-02-15 16:52:10 +0100: Memory Usage (433068K) : metal4_pin has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (433196K) : metal4_mask has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (433196K) : metal4_filler has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (433196K) : metal4_nofill has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (433324K) : metal4_slit has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (433324K) : metal4_text has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (433324K) : metal4_opc has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (433452K) : metal4_noqrc has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (433452K) : metal4_res has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (433580K) : metal4_iprobe has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (433580K) : metal4_diffprb has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (433580K) : heattrans_drw has 47 polygons
2026-02-15 16:52:10 +0100: Memory Usage (433708K) : heatres_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (433708K) : pempoly_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (433836K) : fbe_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (433836K) : empoly_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (433964K) : ldmos_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (433964K) : pbiwind_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (433964K) : digisub_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (434092K) : nodrc_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (434092K) : text_drw has 32 polygons
2026-02-15 16:52:10 +0100: Memory Usage (434220K) : via4_drw has 264 polygons
2026-02-15 16:52:10 +0100: Memory Usage (434220K) : metal5_drw has 64 polygons
2026-02-15 16:52:10 +0100: Memory Usage (434348K) : metal5_pin has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (434348K) : metal5_mask has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (434476K) : metal5_filler has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (434476K) : metal5_nofill has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (434476K) : metal5_slit has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (434604K) : metal5_text has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (434604K) : metal5_opc has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (434604K) : metal5_noqrc has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (434604K) : metal5_res has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (434732K) : metal5_iprobe has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (434732K) : metal5_diffprb has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (434860K) : radhard_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (434860K) : memcap_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (434988K) : varicap_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (434988K) : flash_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (434988K) : intbondvia_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (435116K) : intbondmet_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (435116K) : devbondvia_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (435244K) : devbondmet_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (435244K) : devtrench_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (435244K) : redist_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (435372K) : graphbot_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (435372K) : graphtop_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (435500K) : antvia1_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (435500K) : antmetal2_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (435628K) : graphcont_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (435628K) : siwg_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (435756K) : siwg_filler has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (435756K) : siwg_nofill has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (435756K) : sigrating_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (435756K) : singrating_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (435884K) : graphpas_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (435884K) : emwind3_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (435884K) : emwihv3_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (436012K) : redbulay_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (436012K) : smos_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (436140K) : graphpad_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (436140K) : polimide_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (436140K) : polimide_pin has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (436268K) : recog_drw has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (436268K) : recog_pin has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (436396K) : recog_esd has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (436396K) : recog_diode has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (436524K) : recog_tsv has 0 polygons
2026-02-15 16:52:10 +0100: Memory Usage (436524K) : recog_iprobe has 0 polygons
