# Logfile created on 2026-02-26 05:26:36 +0100 by logger.rb/v1.4.3
2026-02-26 05:26:36 +0100: Memory Usage (428712K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/designer/shared/IHP-AnalogAcademy/modules/module_3_8_bit_SAR_ADC/part_5_analog_layout/switch_array/layout/switch_array.gds
2026-02-26 05:26:36 +0100: Memory Usage (428712K) : Ruby Version for klayout: 3.0.2
2026-02-26 05:26:36 +0100: Memory Usage (429736K) : Loading database to memory is complete.
2026-02-26 05:26:36 +0100: Memory Usage (429736K) : IHP-SG13G2 KLayout DRC runset output at: /home/designer/shared/IHP-AnalogAcademy/modules/module_3_8_bit_SAR_ADC/part_5_analog_layout/switch_array/layout/drc_run_switch_array/switch_array_switch_array_main.lyrdb
2026-02-26 05:26:36 +0100: Memory Usage (429736K) : Evaluate switches.
2026-02-26 05:26:36 +0100: Memory Usage (429736K) : tables selected: main
2026-02-26 05:26:36 +0100: Memory Usage (429736K) : KLayout will use 1 thread(s) in tiling mode.
2026-02-26 05:26:36 +0100: Memory Usage (429736K) : deep mode is enabled.
2026-02-26 05:26:36 +0100: Memory Usage (429736K) : FEOL enabled: true
2026-02-26 05:26:36 +0100: Memory Usage (429736K) : BEOL enabled: true
2026-02-26 05:26:36 +0100: Memory Usage (429736K) : OFFGRID enabled: true
2026-02-26 05:26:36 +0100: Memory Usage (429736K) : PIN enabled: true
2026-02-26 05:26:36 +0100: Memory Usage (429736K) : FORBIDDEN enabled: true
2026-02-26 05:26:36 +0100: Memory Usage (429736K) : RECOMMENDED enabled: false
2026-02-26 05:26:36 +0100: Memory Usage (429736K) : PreCheck DRC enabled: false
2026-02-26 05:26:36 +0100: Memory Usage (429736K) : CONNECTIVITY_RULES enabled: true.
2026-02-26 05:26:36 +0100: Memory Usage (429736K) : Read in polygons from layers.
2026-02-26 05:26:36 +0100: Memory Usage (430632K) : activ_drw has 168 polygons
2026-02-26 05:26:36 +0100: Memory Usage (430632K) : activ_pin has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (430632K) : activ_mask has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (430760K) : activ_filler has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (430760K) : activ_nofill has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (430760K) : activ_opc has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (430760K) : activ_iopc has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (430760K) : activ_noqrc has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (430760K) : biwind_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (430760K) : biwind_opc has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (430760K) : pemwind_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (430760K) : gatpoly_drw has 133 polygons
2026-02-26 05:26:36 +0100: Memory Usage (430760K) : gatpoly_pin has 21 polygons
2026-02-26 05:26:36 +0100: Memory Usage (430760K) : gatpoly_filler has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (430760K) : gatpoly_nofill has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (430760K) : gatpoly_opc has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (430760K) : gatpoly_iopc has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (430760K) : gatpoly_noqrc has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (430760K) : cont_drw has 469 polygons
2026-02-26 05:26:36 +0100: Memory Usage (430760K) : cont_opc has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (430760K) : nsd_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (430760K) : nsd_block has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (430760K) : metal1_drw has 448 polygons
2026-02-26 05:26:36 +0100: Memory Usage (430760K) : metal1_pin has 91 polygons
2026-02-26 05:26:36 +0100: Memory Usage (430760K) : metal1_mask has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (430760K) : metal1_filler has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (430888K) : metal1_nofill has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (430888K) : metal1_slit has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (431016K) : metal1_text has 63 polygons
2026-02-26 05:26:36 +0100: Memory Usage (431016K) : metal1_opc has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (431144K) : metal1_noqrc has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (431144K) : metal1_res has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (431144K) : metal1_iprobe has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (431144K) : metal1_diffprb has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (431272K) : passiv_drw has 0 polygons
2026-02-26 05:26:36 +0100: Memory Usage (431272K) : passiv_pin has 0 polygons
